id,groupId,name,email,memo
100,100,M1-0,user0@m1.example.co.jp,
101,100,M1-1,user1@m1.example.co.jp,
102,100,M1-2,user2@m1.example.co.jp,
200,200,M2-0,user0@m2.example.co.jp,
201,200,M2-1,user1@m2.example.co.jp,
202,200,M2-2,user2@m2.example.co.jp,
300,300,M3-0,user0@m3.example.co.jp,
301,300,M3-1,user1@m3.example.co.jp,
1000,1000,B1-1,B1-1@bp1.example.co.jp,
1010,1010,B2-1,B2-1@bp2.example.co.jp,
1020,1020,B3-1,B3-1@bp3.example.co.jp,
1021,1020,B3-2,B3-2@bp3.example.co.jp,
1030,1030,B4-1,B4-1@bp4.example.co.jp,
1031,1030,B4-2,B4-2@bp4.example.co.jp,
1032,1030,B4-3,B4-3@bp4.example.co.jp,
1033,1030,B4-4,B4-4@bp4.example.co.jp,
